,MLP_SMOTE_predicted
0,0.0
1,1.0
2,1.0
3,1.0
4,1.0
5,0.0
6,1.0
7,1.0
8,0.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,0.0
15,1.0
16,1.0
17,1.0
18,0.0
19,1.0
20,0.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,0.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,0.0
34,1.0
35,0.0
36,1.0
37,0.0
38,1.0
39,0.0
40,1.0
41,1.0
42,0.0
43,1.0
44,1.0
45,0.0
46,1.0
47,1.0
48,1.0
49,1.0
50,0.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,0.0
57,1.0
58,0.0
59,1.0
60,1.0
61,1.0
62,0.0
63,0.0
64,1.0
65,0.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,0.0
73,1.0
74,1.0
75,1.0
76,1.0
77,0.0
78,0.0
79,1.0
80,1.0
81,1.0
82,1.0
83,0.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,0.0
94,1.0
95,0.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,0.0
105,1.0
106,1.0
107,0.0
108,1.0
109,1.0
110,1.0
111,0.0
112,1.0
113,1.0
114,0.0
115,1.0
116,0.0
117,0.0
118,0.0
119,1.0
120,0.0
121,1.0
122,0.0
123,1.0
124,1.0
125,1.0
126,0.0
127,1.0
128,1.0
129,1.0
130,1.0
131,1.0
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
139,1.0
140,0.0
141,1.0
142,1.0
143,1.0
144,1.0
145,0.0
146,1.0
147,1.0
148,0.0
149,1.0
150,1.0
151,1.0
152,1.0
153,1.0
154,1.0
155,0.0
156,1.0
157,0.0
158,0.0
159,0.0
160,1.0
161,1.0
162,1.0
163,1.0
164,1.0
165,0.0
166,1.0
167,0.0
168,1.0
169,0.0
170,0.0
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,0.0
180,0.0
181,1.0
182,1.0
183,0.0
184,0.0
185,1.0
186,1.0
187,1.0
188,1.0
189,1.0
190,1.0
191,1.0
192,0.0
193,1.0
194,1.0
195,1.0
196,0.0
197,1.0
198,0.0
199,0.0
200,0.0
201,0.0
202,1.0
203,0.0
204,1.0
205,1.0
206,0.0
207,1.0
208,1.0
209,1.0
210,0.0
211,0.0
212,0.0
213,1.0
214,1.0
215,1.0
216,0.0
217,1.0
218,0.0
219,1.0
220,1.0
221,1.0
222,0.0
223,0.0
224,0.0
225,1.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,1.0
233,1.0
234,1.0
235,0.0
236,1.0
237,1.0
238,1.0
239,1.0
240,1.0
241,0.0
242,1.0
243,0.0
244,1.0
245,0.0
246,1.0
247,1.0
248,1.0
249,1.0
250,0.0
251,1.0
252,1.0
253,1.0
254,1.0
255,0.0
256,1.0
257,1.0
258,0.0
259,1.0
260,1.0
261,0.0
262,0.0
263,1.0
264,1.0
265,0.0
266,1.0
267,1.0
268,1.0
269,1.0
270,1.0
271,0.0
272,0.0
273,1.0
274,1.0
275,1.0
276,1.0
277,1.0
278,0.0
279,1.0
280,1.0
281,1.0
282,1.0
283,1.0
284,0.0
285,1.0
286,1.0
287,0.0
288,1.0
289,0.0
290,1.0
291,1.0
292,0.0
293,1.0
294,1.0
295,0.0
296,0.0
297,1.0
298,0.0
299,1.0
300,0.0
301,1.0
302,1.0
303,1.0
304,0.0
305,1.0
306,0.0
307,1.0
308,1.0
309,0.0
310,1.0
311,1.0
312,1.0
313,0.0
314,1.0
315,1.0
316,0.0
317,0.0
318,0.0
319,1.0
320,1.0
321,1.0
322,1.0
323,1.0
324,1.0
325,0.0
326,0.0
327,0.0
328,1.0
329,1.0
330,1.0
331,1.0
332,1.0
333,0.0
334,1.0
335,1.0
336,1.0
337,1.0
338,0.0
339,0.0
340,0.0
341,0.0
342,1.0
343,1.0
344,0.0
345,1.0
346,1.0
347,1.0
348,1.0
349,1.0
350,0.0
351,0.0
352,0.0
353,0.0
354,1.0
355,1.0
356,1.0
357,1.0
358,0.0
359,1.0
360,1.0
361,1.0
362,1.0
363,0.0
364,1.0
365,1.0
366,0.0
367,1.0
368,1.0
369,1.0
370,0.0
371,1.0
372,0.0
373,1.0
374,0.0
375,1.0
376,1.0
377,1.0
378,0.0
379,0.0
380,1.0
381,1.0
382,1.0
383,1.0
384,1.0
385,1.0
386,0.0
387,1.0
388,1.0
389,1.0
390,1.0
391,1.0
392,0.0
393,0.0
394,1.0
395,1.0
396,1.0
397,0.0
398,1.0
399,1.0
400,1.0
401,0.0
402,0.0
403,1.0
404,1.0
405,0.0
406,1.0
407,1.0
408,1.0
409,1.0
410,1.0
411,1.0
412,1.0
413,1.0
414,1.0
415,1.0
416,1.0
417,1.0
418,1.0
419,0.0
420,1.0
421,1.0
422,1.0
423,1.0
424,1.0
425,0.0
426,1.0
427,0.0
428,1.0
429,0.0
430,0.0
431,0.0
432,1.0
433,0.0
434,0.0
435,1.0
436,1.0
437,0.0
438,0.0
439,1.0
440,0.0
441,1.0
442,0.0
443,0.0
444,1.0
445,1.0
446,1.0
447,0.0
448,1.0
449,1.0
450,1.0
451,0.0
452,1.0
453,1.0
454,1.0
455,1.0
456,0.0
457,1.0
458,0.0
459,0.0
460,1.0
461,1.0
462,1.0
463,1.0
464,1.0
465,1.0
466,0.0
467,1.0
468,1.0
469,1.0
470,0.0
471,1.0
472,0.0
473,0.0
474,1.0
475,1.0
476,1.0
477,0.0
478,1.0
479,1.0
480,1.0
481,1.0
482,1.0
483,1.0
484,1.0
485,1.0
486,1.0
487,1.0
488,1.0
489,1.0
490,1.0
491,1.0
492,1.0
493,1.0
494,0.0
495,1.0
496,1.0
497,0.0
498,1.0
499,1.0
500,1.0
501,0.0
502,0.0
503,1.0
504,1.0
505,1.0
506,0.0
507,1.0
508,0.0
509,0.0
510,1.0
511,0.0
512,1.0
513,0.0
514,0.0
515,0.0
516,1.0
517,1.0
518,0.0
519,1.0
520,1.0
521,1.0
522,0.0
523,1.0
524,0.0
525,0.0
526,1.0
527,0.0
528,1.0
529,0.0
530,1.0
531,1.0
532,0.0
533,0.0
534,1.0
535,0.0
536,1.0
537,1.0
538,1.0
539,1.0
540,1.0
541,1.0
542,1.0
543,1.0
544,1.0
545,1.0
546,0.0
547,1.0
548,0.0
549,1.0
550,0.0
551,1.0
552,1.0
553,1.0
554,1.0
555,1.0
556,1.0
557,1.0
558,1.0
559,1.0
560,1.0
561,0.0
562,1.0
563,1.0
564,1.0
565,0.0
566,1.0
567,1.0
568,0.0
569,1.0
570,1.0
571,0.0
572,0.0
573,1.0
574,1.0
575,0.0
576,0.0
577,1.0
578,0.0
579,1.0
580,1.0
581,0.0
582,0.0
583,0.0
584,1.0
585,1.0
586,1.0
587,0.0
588,0.0
589,1.0
590,1.0
591,1.0
592,0.0
593,1.0
594,1.0
595,0.0
596,1.0
597,0.0
598,1.0
599,1.0
600,1.0
601,1.0
602,1.0
603,0.0
604,0.0
605,1.0
606,1.0
607,1.0
608,0.0
609,1.0
610,1.0
611,0.0
612,1.0
613,0.0
614,1.0
615,1.0
616,0.0
617,0.0
618,1.0
619,1.0
620,1.0
621,1.0
622,1.0
623,1.0
624,0.0
625,1.0
626,1.0
627,0.0
628,0.0
629,1.0
630,1.0
631,1.0
632,0.0
633,1.0
634,1.0
635,0.0
636,1.0
637,1.0
